NICKstateNAME                   2008/nga/2akpabio.tou 20081005
THUN --- Tony Hunt               8 2262 20061128
GASI --- Ganesh Asirvatham     571 2233 20080622
NRIC --- Nigel Richards        677 2143 20080910
MQUR --- Mazher Qureshi          6 2139 20011012
PGAL GBR Paul Gallen            13 2118 20080210
RTIE --- Ron Tiekert            59 2102 19991106
LMAC --- Lewis Mackay           31 2094 20080910
JWAP --- Joel Wapnick          174 2087 20071111
EKAR --- Eta Karo               38 2084 20081005
ALOG --- Adam Logan            185 2082 20071111
PARM --- Peter Armstrong        24 2076 20051119
OTIM --- Olaitan Timi           38 2076 20081005
MPET NGA Moses Peter            14 2076 20081005
CMAY --- Chris May             168 2073 20080629
WJIG --- Wellington Jighere    113 2073 20081005
TSAH --- Tayo Saheed            38 2073 20081005
APER --- Andrew Perry           48 2070 20031023
JDYM --- Jack Dymond           241 2067 20041126
SFOS --- Simon Foskett           6 2066 19991031
DBOY --- David Boys            159 2062 20071111
IWIL NGA Isong Williams         14 2062 20081005
AFIS --- Andrew Fisher         317 2057 20071111
BBER --- Barbara Berlin         38 2056 19991106
EUMU --- Emmanuel Umujose       38 2056 20081005
BCAP --- Brian Cappelletto     105 2055 20011216
SDUR --- Segun Durojaiye        48 2055 20060924
FIBU --- Faloye Ibukun          38 2052 20081005
VMOR --- Virgilio Morales      118 2051 19980920
ROGB NGA Rex Ogbakpa            14 2046 20081005
TADA --- Timothy Adamson       110 2042 20071111
YTAK --- Yawo Takyi Ananga      93 2042 20051119
OAVW --- Oshevire Avwenagha     24 2042 20060924
PNEM --- Pakorn Nemitrmansuk   463 2039 20080629
NFER --- Naween Fernando       296 2039 20071111
KPAN --- Komol Panyasoponlert  341 2037 20080629
HWEE --- Hubert Wee            320 2035 20080629
DWIE --- David Wiegand          96 2035 20051119
OSUA --- Ong Suanne            256 2034 20080629
MSUL --- Mohammad Sulaiman      46 2034 20071111
BSMI --- Brett Smitheram        84 2033 20061201
MSAN --- Moshood Sanni         110 2032 20081005
ADAV --- Andrew Davis           72 2030 20051119
DIKE --- Dennis Ikekeregor     143 2029 20081005
ASAL --- Alan Saldanha          57 2029 19971127
HWAR --- Howard Warner         334 2027 20071111
DELD --- David Eldar           216 2027 20080629
FOMO NGA Friday Omorogbe        14 2027 20081005
MNIC GBR Mikki Nicholson        56 2023 20080910
PCLE --- Paul Cleary           311 2022 20051119
WFAS --- Wale Fashina           48 2022 19991106
LOYE --- Lanre Oyenkunle        48 2021 20071111
MQUA --- Michael Quao          144 2018 20060924
JEDL --- Joe Edley             128 2017 20011216
OOTE --- Onota Oteheri          38 2017 20081005
JKLA --- Jakkrit Klaphajone    399 2016 20080629
CSUK --- Charnwit Sukhu        365 2016 20080629
APHI --- Adam Philpotts         36 2016 20071111
JKRA --- James Kramer          112 2015 20071111
EOKU --- Edward Okulicz        165 2012 20071129
PAPP --- Phil Appleby          145 2011 20071111
JSHE --- Joel Sherman          221 2010 20051119
RBYE --- Russell Byers         105 2010 20051119
JKAT --- Jason Katz-Brown       95 2009 20080629
SOKO --- Sammy Okosagah         63 2009 20011216
ACHA --- Amit Chakrabarti       86 2008 20071111
JO'L --- John O'Laughlin       112 2007 20080615
ACOO --- Andrew Cook            24 2007 19991106
MNYM --- Mark Nyman            294 2005 20080111
DACT --- David Acton            53 2004 20050226
PALL --- Paul Allan            167 2003 20080910
HGIP --- Helen Gipson          223 2000 20080111
MKIM --- Macharia Kimani        66 1996 20041003
JASH GBR John Ashmore           25 1996 20080505
JSCA --- Jimmy Scarff           24 1995 19981123
IISM --- Idrus Ismail           18 1995 19980920
BOLA NGA Biodun Olaleru         14 1995 20081005
TSIM --- Tony Sim              702 1994 20080629
JMAL --- Joey Mallick           48 1992 20051119
JGEA --- Jim Geary             101 1991 20031023
MGRA --- Matt Graham            63 1991 20011216
PNDE --- Patrick Nderitu        57 1991 19971127
EAQU --- Edet Aquaisua          38 1990 20081005
DGIB --- Dave Gibson            15 1990 19930830
COKW --- Chinedu Okwelogu       62 1988 20081005
STHO --- Shafique Thobani       77 1987 19991106
ATOR --- Asimiea Torisetju      24 1987 19980412
ORIO --- Odette Rio            403 1985 20080629
HLAM --- Harshan Lamabad       162 1985 20080111
WKEL --- Wayne Kelly            92 1985 20080910
CIKO --- Clement Ikolo          43 1985 20080910
NSAY --- Nawapadol Sayavesa    210 1982 20080629
ASHI --- Austin Shin            86 1982 20080910
LOWO --- Lukeman Owolabi        62 1982 20081005
MHAR GBR Martin Harrison        81 1980 20080910
SPOL --- Steve Polatnick       194 1977 20071111
CBEE --- Craig Beevers          68 1975 20080910
OOYA --- Olabiyi Oyadiran       38 1975 20081005
BUFE NGA Ben Ufeli              14 1975 20081005
JLUE --- John Luebkemann       111 1974 20051119
DWEB --- David Webb            150 1970 20071111
VQUI --- Virgilio Quiballo      78 1970 20020707
BSCH --- Bob Schoenman          18 1970 19930830
AKUR --- Andy Kurnia           379 1967 20071129
IONY --- Ifeanyi Onyeonwu       39 1967 19971127
SNJO --- Stanley Njoroge       152 1965 20050327
RLUN --- Richard Lund           18 1965 19930830
TSUT --- Taewan Sutthasin      423 1964 20080629
JMCK --- Julian McKail          75 1964 20080629
AADE --- Ayox Adekunle          48 1964 20041003
NBEN --- Nathan Benedict        24 1964 20071111
PLIT --- Patrick Litunya       307 1962 20080405
FAWO --- Femi Awowade          548 1960 20081005
CTAC --- Charles Tachie         24 1959 20060924
DSAL --- Dean Saldanha         144 1956 20071129
JMEA --- Jere Mead              45 1956 20011216
ABHA --- Akshay Bhandarkar     303 1955 20080606
JROB GBR Jared Robinson         55 1955 20080504
PNEL --- Phil Nelkon            27 1955 20031018
GCAR --- Gerry Carter          624 1954 20080629
TMAY --- Tuoyo Mayuku           38 1954 20081005
POMO NGA Prince Omosefe         14 1953 20081005
SCHI --- Suresh Chinnaiyah     119 1951 20070115
KMCM --- Kevin McMahon          37 1951 20080210
PDOW --- Penny Downer           21 1951 19971127
RBAL --- Rasheed Balogun       110 1950 20081005
PMOR --- Peter Morris           18 1949 19930830
LODO --- Lisa Odom              66 1948 20051119
NSCO --- Neil Scott             54 1948 20071203
HMAL --- Harry Malcolm          14 1947 19991102
PROB --- Phil Robertshaw        62 1946 20080505
OOJI NGA Osikhena Ojior         14 1946 20081005
PSUJ --- Panupol Sujjayakorn   380 1942 20080629
DESA --- Dokun Esan             38 1942 20081005
BLIP --- Bob Lipton            175 1940 20080615
CHOO --- Chris Hooks            23 1939 19961125
CDOD --- Carmel Dodd           136 1935 20030629
LSCH --- Lester Schonbrun       59 1935 19991106
GWIL --- Gareth Williams       237 1934 20080210
MTHE USA Michael Thelen         14 1933 20080615
RMAC --- Rod MacNeil            24 1932 20071111
AHAH --- Albert Hahn           151 1931 20071129
JVAN --- John Van Pelt          21 1931 20031228
SHOL --- Stewart Holden        101 1930 20080910
JJAC GBR Jake Jacobs            56 1929 20080910
RCAS --- Rod Casey               6 1929 19991031
AERB --- Akegapun Erbpras      133 1928 20060702
AOGB --- Azu Ogbogu            147 1928 20081005
RDAN --- Robin Daniel           81 1928 20011216
EBER --- Evan Berofsky          80 1926 20071111
MGON --- Michael Gongolo       272 1925 20080405
RFIL --- Roland Filio          135 1924 20011216
ESIM --- Evan Simpson          119 1924 20060930
DDAY --- Darrel Day             18 1924 19930830
KMCC --- Kay McColgan           25 1923 20080210
RGRE --- Randy Greenspan        18 1922 19930830
MEVA GBR Mike Evans             13 1922 20080210
MWAR --- M Warusawitharana      57 1920 19971127
JGRA --- Jeff Grant            320 1919 20071111
JCHE --- James Cherry           48 1919 20011216
NNAJ --- Nashad Najmu           36 1917 20031214
OBON --- Owen Bondin            24 1917 19991106
IDIX --- Ivy Dixon-Baird        16 1917 20030630
RHER --- Randy Hersom          117 1916 20051119
TBAR --- Thitipol Barameem      55 1916 20080629
TKIR --- Terry Kirk            273 1915 20081005
THAL --- Trevor Halsall        180 1915 20071129
ASAI IND Ayorinde Saidu         35 1914 20081005
OOJI NGA Onota Ojiru            14 1914 20081005
RTAL --- Rod Talbot            136 1913 20041126
GTHE --- Geoff Thevenot         55 1913 20080615
DLOW --- David Lowden           24 1912 20061106
NBAL --- Nick Ball              38 1911 20080615
ZKAU --- Zev Kaufman            78 1910 20051119
THOV --- Trevor Hovelmeier     200 1909 20071111
MSCH --- Mark Schellenberg      24 1909 20071111
RHON --- Russell Honeybun       24 1908 20061106
MPRU --- Marlon Prudencio      182 1906 20080629
ATAM --- Adrian Tamas          115 1906 20080629
BJAC --- Bob Jackman           470 1901 20080629
NBAL --- Nick Ballard           18 1901 19930830
OJAR --- Ong-Arj Jaruwan        18 1901 19930830
BWIL GBR Ben Wilson             19 1900 20080910
TKOO --- Thacha Koowirat       115 1899 20080629
WINT --- Win Intara             27 1899 20040628
ZLEA --- Zelig Leader           18 1899 19951026
JHOL --- John Holgate          286 1898 20021118
PELB --- Peter Elbourne        105 1898 20011216
SOSH --- Sunday Oshodi         110 1897 20081005
FWEA --- Feargal Weatherhead    25 1897 20080210
SKAN --- Sam Kantimathi        204 1896 20071111
EDAN --- Elie Dangoor          154 1896 20080505
CSYK --- Christopher Sykes      24 1896 20011216
RHOE --- Ron Hoekstra          152 1894 20071111
MGAB --- Marty Gabriel          44 1894 20071111
SCHA --- Sitthisak Chaisook     28 1894 20000705
WNED --- Will Nediger           39 1893 20061201
MZAF --- Mohammed Zafar        199 1892 20080629
JADD --- Joshua Addo            39 1892 19971127
MWIL --- Mike Willis            18 1892 19951026
DAKA NGA Dipo Akanbi            14 1892 20081005
TBRO --- Theresa Brousson      148 1891 20080910
AUL- --- Asad Ul-haq            96 1890 20070624
EMET --- Eddie Metevier         32 1890 19991106
DEAR --- Dylan Early           104 1889 20051119
JLER --- Jerry Lerman           42 1889 20051119
MPHI --- Manop Phiphat         234 1888 20051218
JGRA --- John Grayson           87 1888 20061201
BSUG --- Brian Sugar            60 1888 20080111
LKIA --- Liew Kian Boon        146 1887 20071204
DDEN --- Di Dennis              66 1887 20071111
RLIN --- Robert Linn            64 1887 20071111
CSPA --- Clive Spate            57 1887 19971127
GJIA --- Goh Jiang Pern        321 1885 20071129
MSIR --- Marut Siriwangso      164 1885 20060702
PEPS --- Paul Epstein           47 1885 20000604
VBAL --- Vannitha Balasingam   250 1884 20080629
TRAB --- Tawano Rabong          69 1884 20000705
KHIR --- Keiichiro Hirai       122 1883 20051119
VAMA --- Victor Amartey         48 1882 20060924
RMAC --- Ross Mackenzie         12 1881 20071203
AOLA --- Adigun Olatunde        72 1880 20102002
MPRA --- Mike Pray              52 1880 20000526
AIKO --- Anthony Ikolo          38 1880 20081005
SROD --- Sherwin Rodrigues     244 1879 20080113
WSUT --- Waiyapot Suttawass     53 1879 20030629
EPER --- Esther Perrins        193 1878 20041126
JFOS --- John Foster           119 1877 20061106
TMAR --- Theodoro Martus        48 1877 20071111
KHEA --- Ken Heaton             18 1876 19930830
SGRU --- Steven Gruzd          137 1875 20031023
BTAR GBR Ben Tarlow             25 1875 20080505
JROS --- Joan Rosenthal        252 1874 20050116
BTHO --- Blue Thorogood         60 1874 20021118
OODU --- Olatunde Oduwole       42 1873 20080910
PCAR --- Patrick Carter        185 1872 20061106
JCRA --- Joanne Craig          148 1872 20071111
JTAB --- John Tabasa            24 1872 20051119
ASOS GBR Abraham Sosseh         19 1872 20080910
CSIU --- Cheah Siu Hean        682 1871 20080629
SLOB --- Selwyn Lobo           346 1869 20070624
KKHO --- Karl Khoshnaw         182 1869 20060713
MEAR USA Michael Early          14 1869 20080615
NETI NGA Nsikan Etim            14 1868 20081005
ASIM --- Allan Simmons         157 1866 20080111
MKEN --- Mark Kenas             89 1866 20071111
CMEN --- Christian Mensah       24 1865 20060924
PAVR --- Paul Avrin             18 1865 19951026
PSIN --- Peter Sinton          241 1864 20061106
EMAR --- Edward Martin         101 1864 20080505
WSAE --- Weera Saengsit         98 1864 20080629
WWAR --- Wilma Warwick          60 1863 20071203
AWEB --- Alec Webb              93 1862 20080615
RCRE --- Ronald Credo          165 1861 20071111
RTAL --- Rogelio Talosig       139 1861 20061106
WWIL --- Walker Willingham      24 1859 20031023
VHIN --- Varisht Hingorani     165 1856 20080113
CPLA --- Chrys Placca          186 1854 20060924
