NICKstateNAME                   2009/can/toron092.tou 20090913
THUN --- Tony Hunt               8 2262 20061128
GASI --- Ganesh Asirvatham     571 2233 20080622
MPAN CAN Max Panitch            12 2182 20090913
MQUR --- Mazher Qureshi          6 2139 20011012
PGAL GBR Paul Gallen            13 2118 20080210
RTIE --- Ron Tiekert            59 2102 19991106
DELD --- David Eldar           302 2092 20081211
LMAC --- Lewis Mackay           64 2086 20090717
ALOG --- Adam Logan            185 2082 20071111
DBOY --- David Boys            171 2081 20090913
OTIM --- Olaitan Timi           38 2076 20081005
JWAP --- Joel Wapnick          186 2073 20090913
TSAH --- Tayo Saheed            38 2073 20081005
CSUK --- Charnwit Sukhu        392 2072 20090628
NRIC --- Nigel Richards        916 2071 20090717
APER --- Andrew Perry           48 2070 20031023
JDYM --- Jack Dymond           241 2067 20041126
SFOS --- Simon Foskett           6 2066 19991031
EKAR --- Eta Karo               62 2062 20081010
IWIL NGA Isong Williams         14 2062 20081005
BBER --- Barbara Berlin         38 2056 19991106
BCAP --- Brian Cappelletto     105 2055 20011216
SDUR --- Segun Durojaiye        48 2055 20060924
VMOR --- Virgilio Morales      118 2051 19980920
EOKU --- Edward Okulicz        233 2049 20081130
DWIE --- David Wiegand         136 2048 20090414
PARM --- Peter Armstrong        48 2046 20081116
ROGB NGA Rex Ogbakpa            14 2046 20081005
YTAK --- Yawo Takyi Ananga      93 2042 20051119
OAVW --- Oshevire Avwenagha     24 2042 20060924
BSMI --- Brett Smitheram        84 2033 20061201
MSAN --- Moshood Sanni         110 2032 20081005
HGIP --- Helen Gipson          364 2031 20090628
JKAT --- Jason Katz-Brown      122 2031 20090628
ADAV --- Andrew Davis           72 2030 20051119
ASAL --- Alan Saldanha          57 2029 19971127
FOMO NGA Friday Omorogbe        14 2027 20081005
MPET NGA Moses Peter            38 2024 20081010
PCLE --- Paul Cleary           311 2022 20051119
MNIC GBR Mikki Nicholson        94 2022 20090109
WFAS --- Wale Fashina           48 2022 19991106
HWAR --- Howard Warner         420 2021 20081211
CMAY --- Chris May             239 2021 20090628
LOYE --- Lanre Oyenkunle        48 2021 20071111
MNYM --- Mark Nyman            315 2017 20090717
LOWO --- Lukeman Owolabi       146 2017 20090628
JEDL --- Joe Edley             128 2017 20011216
WJIG --- Wellington Jighere    199 2015 20081211
PALL --- Paul Allan            188 2014 20090717
APHI --- Adam Philpotts         48 2012 20081101
EMAR --- Edward Martin         166 2011 20090717
PAPP --- Phil Appleby          145 2011 20071111
JSHE --- Joel Sherman          221 2010 20051119
NFER --- Naween Fernando       340 2009 20081130
TADA --- Timothy Adamson       196 2009 20081211
SOKO --- Sammy Okosagah         63 2009 20011216
ACOO --- Andrew Cook            24 2007 19991106
DACT --- David Acton            53 2004 20050226
PNEM --- Pakorn Nemitrmansuk   600 2002 20090705
AFIS --- Andrew Fisher         361 2002 20081130
KMCM --- Kevin McMahon          49 2001 20081101
DIKE --- Dennis Ikekeregor     167 1999 20081010
MSUL --- Mohammad Sulaiman      64 1999 20081018
ASHI --- Austin Shin           107 1996 20090717
MKIM --- Macharia Kimani        66 1996 20041003
JSCA --- Jimmy Scarff           24 1995 19981123
IISM --- Idrus Ismail           18 1995 19980920
BOLA NGA Biodun Olaleru         14 1995 20081005
JMAL --- Joey Mallick           48 1992 20051119
SKAN --- Sam Kantimathi        310 1991 20090913
JGEA --- Jim Geary             101 1991 20031023
MGRA --- Matt Graham            63 1991 20011216
PNDE --- Patrick Nderitu        57 1991 19971127
DGIB --- Dave Gibson            15 1990 19930830
NBAL --- Nick Ball             102 1988 20090913
STHO --- Shafique Thobani       77 1987 19991106
ATOR --- Asimiea Torisetju      24 1987 19980412
HWEE --- Hubert Wee            347 1986 20090628
NSAY --- Nawapadol Sayavesa    261 1986 20090628
DWEB --- David Webb            214 1986 20090503
CIKO --- Clement Ikolo          43 1985 20080910
PSUJ --- Panupol Sujjayakorn   406 1984 20090628
KPAN --- Komol Panyasoponlert  368 1984 20090628
NSCO --- Neil Scott             66 1980 20081101
CBEE --- Craig Beevers         127 1978 20090717
NBEN --- Nathan Benedict       102 1978 20090414
WKEL --- Wayne Kelly           163 1977 20090717
ASAI IND Ayorinde Saidu        148 1976 20090628
OOYA --- Olabiyi Oyadiran       38 1975 20081005
PROB --- Phil Robertshaw       144 1973 20090503
AOGB --- Azu Ogbogu            171 1971 20081010
COKW --- Chinedu Okwelogu      148 1971 20081211
JGRA --- Jeff Grant            364 1970 20081130
VQUI --- Virgilio Quiballo      78 1970 20020707
BSCH --- Bob Schoenman          18 1970 19930830
OSUA --- Ong Suanne            342 1969 20090619
RBYE --- Russell Byers         126 1967 20090717
IONY --- Ifeanyi Onyeonwu       39 1967 19971127
SNJO --- Stanley Njoroge       152 1965 20050327
RLUN --- Richard Lund           18 1965 19930830
AADE --- Ayox Adekunle          48 1964 20041003
PLIT --- Patrick Litunya       331 1960 20081010
CTAC --- Charles Tachie         24 1959 20060924
MQUA --- Michael Quao          168 1957 20081116
JMEA --- Jere Mead              45 1956 20011216
TBRO --- Theresa Brousson      329 1955 20090717
JKRA --- James Kramer          136 1954 20081116
MGAB --- Marty Gabriel          88 1954 20090913
POMO NGA Prince Omosefe         14 1953 20081005
OOTE --- Onota Oteheri          62 1952 20081010
FIBU --- Faloye Ibukun         124 1951 20081211
SCHI --- Suresh Chinnaiyah     119 1951 20070115
PDOW --- Penny Downer           21 1951 19971127
JLUE --- John Luebkemann       135 1950 20081116
PMOR --- Peter Morris           18 1949 19930830
GWIL --- Gareth Williams       249 1948 20081101
RTAL --- Rod Talbot            160 1948 20081130
LODO --- Lisa Odom              66 1948 20051119
HMAL --- Harry Malcolm          14 1947 19991102
EUMU --- Emmanuel Umujose      124 1946 20081211
OOJI NGA Osikhena Ojior         14 1946 20081005
MHAR GBR Martin Harrison       174 1945 20090717
DESA --- Dokun Esan             38 1942 20081005
ESIM --- Evan Simpson          140 1941 20090717
BLIP --- Bob Lipton            175 1940 20080615
ACHO --- Aaron Chong           253 1939 20081130
CHOO --- Chris Hooks            23 1939 19961125
YKIA --- Yeo Kian Hung         485 1938 20090628
EAQU --- Edet Aquaisua          62 1936 20081010
LSCH --- Lester Schonbrun       59 1935 19991106
ORIO --- Odette Rio            475 1933 20090628
MTHE USA Michael Thelen         14 1933 20080615
RMAC --- Rod MacNeil            24 1932 20071111
JVAN --- John Van Pelt          21 1931 20031228
PCAR --- Patrick Carter        209 1930 20081130
JO'L --- John O'Laughlin       156 1930 20090913
SHOL --- Stewart Holden        101 1930 20080910
RCAS --- Rod Casey               6 1929 19991031
AERB --- Akegapun Erbpras      133 1928 20060702
RDAN --- Robin Daniel           81 1928 20011216
RBAL --- Rasheed Balogun       134 1927 20081010
MSCH --- Mark Schellenberg      38 1927 20090719
PMOO THA Phuttaphong Moolasar   27 1927 20090628
EBER --- Evan Berofsky          80 1926 20071111
RFIL --- Roland Filio          135 1924 20011216
DDAY --- Darrel Day             18 1924 19930830
CSIU --- Cheah Siu Hean        791 1923 20090628
TSUT --- Taewan Sutthasin      494 1923 20090628
KMCC --- Kay McColgan           25 1923 20080210
RHOE --- Ron Hoekstra          178 1922 20090913
JROB GBR Jared Robinson         75 1922 20090503
RGRE --- Randy Greenspan        18 1922 19930830
MEVA GBR Mike Evans             13 1922 20080210
JKLA --- Jakkrit Klaphajone    470 1920 20090628
MWAR --- M Warusawitharana      57 1920 19971127
JCHE --- James Cherry           48 1919 20011216
NNAJ --- Nashad Najmu           36 1917 20031214
OBON --- Owen Bondin            24 1917 19991106
IDIX --- Ivy Dixon-Baird        16 1917 20030630
HLAM --- Harshan Lamabad       292 1916 20090717
RHER --- Randy Hersom          117 1916 20051119
TBAR --- Thitipol Barameem      55 1916 20080629
SROD --- Sherwin Rodrigues     337 1914 20090705
OOJI NGA Onota Ojiru            14 1914 20081005
GTHE --- Geoff Thevenot        106 1913 20090628
MZAF --- Mohammed Zafar        218 1912 20081018
DLOW --- David Lowden           24 1912 20061106
ZKAU --- Zev Kaufman            78 1910 20051119
THAL --- Trevor Halsall        204 1909 20081116
THOV --- Trevor Hovelmeier     200 1909 20071111
MSIG --- Mike Sigley           194 1908 20081130
PNEL --- Phil Nelkon            47 1902 20090503
TKIR --- Terry Kirk            328 1901 20090717
NBAL --- Nick Ballard           18 1901 19930830
OJAR --- Ong-Arj Jaruwan        18 1901 19930830
BWIL GBR Ben Wilson             19 1900 20080910
ABHA --- Akshay Bhandarkar     415 1899 20090705
WINT --- Win Intara             27 1899 20040628
ZLEA --- Zelig Leader           18 1899 19951026
ACHA --- Amit Chakrabarti      174 1898 20090525
PELB --- Peter Elbourne        105 1898 20011216
LKIA --- Liew Kian Boon        190 1897 20081130
SOSH --- Sunday Oshodi         110 1897 20081005
EDAN --- Elie Dangoor          154 1896 20080505
CSYK --- Christopher Sykes      24 1896 20011216
TSIM --- Tony Sim              818 1894 20090705
SCHA --- Sitthisak Chaisook     28 1894 20000705
KSAE AUS Kristian Saether       24 1894 20081130
WNED --- Will Nediger           39 1893 20061201
MPRU --- Marlon Prudencio      246 1892 20090619
JCRA --- Joanne Craig          216 1892 20081130
JADD --- Joshua Addo            39 1892 19971127
MWIL --- Mike Willis            18 1892 19951026
DAKA NGA Dipo Akanbi            14 1892 20081005
EPER --- Esther Perrins        217 1891 20081130
MSIR --- Marut Siriwangso      191 1890 20090628
AUL- --- Asad Ul-haq            96 1890 20070624
EMET --- Eddie Metevier         32 1890 19991106
DEAR --- Dylan Early           104 1889 20051119
JLER --- Jerry Lerman           42 1889 20051119
JGRA --- John Grayson           87 1888 20061201
TMAY --- Tuoyo Mayuku           62 1888 20081010
JMCK --- Julian McKail         101 1887 20090628
DDEN --- Di Dennis              66 1887 20071111
CSPA --- Clive Spate            57 1887 19971127
CKHO --- Charnrit Khongthan    144 1886 20090628
GJIA --- Goh Jiang Pern        321 1885 20071129
PEPS --- Paul Epstein           47 1885 20000604
AKUR --- Andy Kurnia           412 1884 20081130
TRAB --- Tawano Rabong          69 1884 20000705
KHIR --- Keiichiro Hirai       122 1883 20051119
HWIL GBR Howard Wilde           20 1883 20090717
VBAL --- Vannitha Balasingam   314 1882 20090619
VAMA --- Victor Amartey         48 1882 20060924
BSUG --- Brian Sugar            81 1881 20090717
DSAL --- Dean Saldanha         158 1880 20090719
AOLA --- Adigun Olatunde        72 1880 20102002
MPRA --- Mike Pray              52 1880 20000526
ACHO --- Apirat Choomai        266 1879 20090628
WSUT --- Waiyapot Suttawass     53 1879 20030629
TKOO --- Thacha Koowirat       186 1876 20090628
JASH GBR John Ashmore           80 1876 20090717
KHEA --- Ken Heaton             18 1876 19930830
SGRU --- Steven Gruzd          137 1875 20031023
BTAR GBR Ben Tarlow             25 1875 20080505
BTHO --- Blue Thorogood         60 1874 20021118
JFOS --- John Foster           143 1873 20081130
OODU --- Olatunde Oduwole       42 1873 20080910
RLIN --- Robert Linn           152 1872 20090525
JTAB --- John Tabasa            24 1872 20051119
ASOS GBR Abraham Sosseh         19 1872 20080910
FAWO --- Femi Awowade          652 1871 20081130
RLOB --- Ralph Lobo            377 1871 20090606
MKEN --- Mark Kenas            133 1870 20090525
MWIW --- Maiyarit Wiwat         54 1870 20090628
KKHO --- Karl Khoshnaw         182 1869 20060713
NETI NGA Nsikan Etim            14 1868 20081005
ATAM --- Adrian Tamas          247 1866 20090628
CMEN --- Christian Mensah       24 1865 20060924
PAVR --- Paul Avrin             18 1865 19951026
PSIN --- Peter Sinton          241 1864 20061106
WWAR --- Wilma Warwick          60 1863 20071203
AWEB --- Alec Webb              93 1862 20080615
MPHI --- Manop Phiphat         261 1861 20090628
RTAL --- Rogelio Talosig       139 1861 20061106
SPOL --- Steve Polatnick       282 1859 20090525
WMWA --- Willy Mwangi           96 1859 20081010
RKEN --- Rik Kennedy            62 1859 20081101
WWIL --- Walker Willingham      24 1859 20031023
TLEA --- Tony Leah              96 1855 20090913
NKES --- Nuttakrit Keska       133 1854 20041219
MHOR --- Michael Hornung        73 1854 20081130
UAND --- Umogbai Andrew         24 1854 20000423
RDEL --- Renante dela Cerna     23 1852 19990627
LBEN --- Larry Benjamin         18 1852 19930830
KSRI --- Kittana Srimaha        12 1852 20000705
