NICKstateNAME                   2010/isr/israel10.tou 20101010
GASI --- Ganesh Asirvatham     571 2233 20080622
MQUR --- Mazher Qureshi          6 2139 20011012
RTIE --- Ron Tiekert            59 2102 19991106
PNEM --- Pakorn Nemitrmansuk   826 2087 20100816
ALOG --- Adam Logan            212 2082 20100716
OTIM --- Olaitan Timi           38 2076 20081005
NRIC --- Nigel Richards       1257 2071 20100827
APER --- Andrew Perry           48 2070 20031023
DELD --- David Eldar           423 2069 20100620
DBOY --- David Boys            240 2069 20091130
PGAL GBR Paul Gallen            38 2068 20100124
JDYM --- Jack Dymond           241 2067 20041126
SFOS --- Simon Foskett           6 2066 19991031
IWIL NGA Isong Williams         14 2062 20081005
BBER --- Barbara Berlin         38 2056 19991106
BCAP --- Brian Cappelletto     105 2055 20011216
SDUR --- Segun Durojaiye        48 2055 20060924
VMOR --- Virgilio Morales      118 2051 19980920
LMAC --- Lewis Mackay          145 2047 20091130
MNYM --- Mark Nyman            384 2046 20091130
PARM --- Peter Armstrong        48 2046 20081116
YTAK --- Yawo Takyi Ananga      93 2042 20051119
EKAR --- Eta Karo              128 2040 20091130
DWIE --- David Wiegand         202 2039 20100911
BSMI --- Brett Smitheram        84 2033 20061201
PALL --- Paul Allan            295 2032 20100108
ADAV --- Andrew Davis           72 2030 20051119
ASAL --- Alan Saldanha          57 2029 19971127
MSAN --- Moshood Sanni         131 2028 20091009
THUN --- Tony Hunt              53 2028 20091204
AFIS --- Andrew Fisher         430 2024 20091130
JWAP --- Joel Wapnick          268 2024 20100926
PCLE --- Paul Cleary           311 2022 20051119
WFAS --- Wale Fashina           48 2022 19991106
LOYE --- Lanre Oyenkunle        48 2021 20071111
JEDL --- Joe Edley             128 2017 20011216
CMAY --- Chris May             369 2012 20100816
APHI --- Adam Philpotts         48 2012 20081101
JSHE --- Joel Sherman          221 2010 20051119
OAVW --- Oshevire Avwenagha     45 2010 20091009
SROD --- Sherwin Rodrigues     409 2009 20100827
SOKO --- Sammy Okosagah         63 2009 20011216
ACOO --- Andrew Cook            24 2007 19991106
JKAT --- Jason Katz-Brown      173 2006 20100620
TSAH --- Tayo Saheed            59 2006 20091009
EOKU --- Edward Okulicz        302 2004 20091130
DACT --- David Acton            53 2004 20050226
ROGB NGA Rex Ogbakpa            35 2003 20091009
RBAL --- Rasheed Balogun       155 2001 20091009
HGIP --- Helen Gipson          561 2000 20100518
MKIM --- Macharia Kimani        66 1996 20041003
CSUK --- Charnwit Sukhu        443 1995 20100620
JSCA --- Jimmy Scarff           24 1995 19981123
IISM --- Idrus Ismail           18 1995 19980920
JMAL --- Joey Mallick           48 1992 20051119
JGEA --- Jim Geary             101 1991 20031023
MGRA --- Matt Graham            63 1991 20011216
TADA --- Timothy Adamson       281 1990 20101003
NBEN --- Nathan Benedict       238 1990 20100816
DGIB --- Dave Gibson            15 1990 19930830
PSUJ --- Panupol Sujjayakorn   502 1988 20100620
LOWO --- Lukeman Owolabi       250 1988 20100108
STHO --- Shafique Thobani       77 1987 19991106
ATOR --- Asimiea Torisetju      24 1987 19980412
WJIG --- Wellington Jighere    289 1986 20091130
MPET NGA Moses Peter            58 1985 20091009
CIKO --- Clement Ikolo          43 1985 20080910
MSIR --- Marut Siriwangso      287 1982 20100620
RKEN --- Rik Kennedy           111 1976 20100124
CSIU --- Cheah Siu Hean        956 1975 20100827
EMAR --- Edward Martin         232 1975 20100518
OOYA --- Olabiyi Oyadiran       38 1975 20081005
TMAR --- Theodoro Martus       184 1974 20091208
PAPP --- Phil Appleby          169 1974 20091129
CBEE --- Craig Beevers         287 1973 20100518
NFER --- Naween Fernando       409 1972 20091130
VQUI --- Virgilio Quiballo      78 1970 20020707
BSCH --- Bob Schoenman          18 1970 19930830
KPAN --- Komol Panyasoponlert  488 1969 20100620
POMO NGA Prince Omosefe         35 1969 20091009
JCRA --- Joanne Craig          362 1967 20100816
RBYE --- Russell Byers         126 1967 20090717
IONY --- Ifeanyi Onyeonwu       39 1967 19971127
MAKO --- Michael Akonor        137 1966 20091204
RLUN --- Richard Lund           18 1965 19930830
AADE --- Ayox Adekunle          48 1964 20041003
NSCO --- Neil Scott            147 1962 20091130
AOGB --- Azu Ogbogu            184 1960 20100124
JROB GBR Jared Robinson        116 1960 20101010
CTAC --- Charles Tachie         24 1959 20060924
SOSH --- Sunday Oshodi         131 1956 20091009
JMEA --- Jere Mead              45 1956 20011216
RHOE --- Ron Hoekstra          261 1955 20101003
RLIN --- Robert Linn           253 1955 20100816
HWAR --- Howard Warner         513 1954 20100816
HWEE --- Hubert Wee            463 1954 20100620
EUMU --- Emmanuel Umujose      145 1954 20091009
MPAN CAN Max Panitch            81 1954 20091130
GTHE --- Geoff Thevenot        196 1951 20100816
FIBU --- Faloye Ibukun         124 1951 20081211
SCHI --- Suresh Chinnaiyah     119 1951 20070115
PDOW --- Penny Downer           21 1951 19971127
ORIO --- Odette Rio            580 1950 20100620
HLAM --- Harshan Lamabad       443 1950 20100511
JLUE --- John Luebkemann       135 1950 20081116
DIKE --- Dennis Ikekeregor     257 1949 20091130
MNIC GBR Mikki Nicholson       221 1949 20101010
PMOR --- Peter Morris           18 1949 19930830
GWIL --- Gareth Williams       261 1948 20091011
LODO --- Lisa Odom              66 1948 20051119
PKOU MYS Peter Kougi            69 1947 20091204
HMAL --- Harry Malcolm          14 1947 19991102
MPRU --- Marlon Prudencio      391 1945 20100827
CJOH USA Carl Johnson           16 1945 20100320
EAQU --- Edet Aquaisua          83 1943 20091009
ESIM --- Evan Simpson          140 1941 20090717
ACHO --- Aaron Chong           253 1939 20081130
CHOO --- Chris Hooks            23 1939 19961125
PLIT --- Patrick Litunya       355 1936 20091129
JGRA --- John Grayson           99 1935 20091011
LSCH --- Lester Schonbrun       59 1935 19991106
SROS MYS Sam Rosin              24 1935 20091129
PNEL --- Phil Nelkon            79 1933 20100816
RMAC --- Rod MacNeil            24 1932 20071111
JVAN --- John Van Pelt          21 1931 20031228
CGRU USA Chris Grubb            16 1931 20100320
JKLA --- Jakkrit Klaphajone    497 1929 20100620
RCAS --- Rod Casey               6 1929 19991031
AERB --- Akegapun Erbpras      133 1928 20060702
RDAN --- Robin Daniel           81 1928 20011216
PNDE --- Patrick Nderitu        81 1928 20100606
EBER --- Evan Berofsky          80 1926 20071111
JO'L --- John O'Laughlin       180 1925 20091129
RFIL --- Roland Filio          135 1924 20011216
DDAY --- Darrel Day             18 1924 19930830
KMCC --- Kay McColgan           25 1923 20080210
TLEA --- Tony Leah             127 1922 20100716
RGRE --- Randy Greenspan        18 1922 19930830
MEVA GBR Mike Evans             13 1922 20080210
CITT --- Chollapat Itthiaree   207 1920 20100620
MWAR --- M Warusawitharana      57 1920 19971127
JCHE --- James Cherry           48 1919 20011216
BOLA NGA Biodun Olaleru         35 1919 20091009
NNAJ --- Nashad Najmu           36 1917 20031214
OBON --- Owen Bondin            24 1917 19991106
IDIX --- Ivy Dixon-Baird        16 1917 20030630
RHER --- Randy Hersom          117 1916 20051119
OOTE --- Onota Oteheri          83 1915 20091009
OODU --- Olatunde Oduwole       63 1914 20091009
BLIP --- Bob Lipton            207 1913 20100816
FAWO --- Femi Awowade          694 1912 20100518
COKW --- Chinedu Okwelogu      238 1912 20091130
MZAF --- Mohammed Zafar        218 1912 20081018
DLOW --- David Lowden           24 1912 20061106
DWEB --- David Webb            246 1910 20100511
ZKAU --- Zev Kaufman            78 1910 20051119
DEAR --- Dylan Early           128 1909 20091129
LKIA --- Liew Kian Boon        217 1907 20100620
WKEL --- Wayne Kelly           201 1907 20100108
KMCM --- Kevin McMahon         118 1905 20091204
BBOW USA Brian Bowman          109 1905 20100816
PCHE --- Pui Cheng Wui         284 1904 20091204
MHAR GBR Martin Harrison       281 1904 20100108
TBRO --- Theresa Brousson      508 1902 20101010
JKRA --- James Kramer          252 1902 20101003
PCAR --- Patrick Carter        233 1902 20100816
AIKO --- Anthony Ikolo         107 1902 20091009
NBAL --- Nick Ballard           18 1901 19930830
OJAR --- Ong-Arj Jaruwan        18 1901 19930830
WILO NGA Wale Ilori             21 1900 20091009
OOJI NGA Onota Ojiru            35 1899 20091009
WINT --- Win Intara             27 1899 20040628
ZLEA --- Zelig Leader           18 1899 19951026
ACHA --- Amit Chakrabarti      174 1898 20090525
PELB --- Peter Elbourne        105 1898 20011216
OSUA --- Ong Suanne            435 1897 20091210
MGAB --- Marty Gabriel         222 1896 20100816
CSYK --- Christopher Sykes      24 1896 20011216
MSUL --- Mohammad Sulaiman     170 1895 20100827
SCHA --- Sitthisak Chaisook     28 1894 20000705
KSAE AUS Kristian Saether       24 1894 20081130
WNED --- Will Nediger           39 1893 20061201
JADD --- Joshua Addo            39 1892 19971127
MWIL --- Mike Willis            18 1892 19951026
DAKA NGA Dipo Akanbi            14 1892 20081005
SNJO --- Stanley Njoroge       176 1891 20100606
AUL- --- Asad Ul-haq            96 1890 20070624
EMET --- Eddie Metevier         32 1890 19991106
JLER --- Jerry Lerman           42 1889 20051119
TMAY --- Tuoyo Mayuku           83 1888 20091009
PLIM THA Pichai Limprasert     148 1887 20100620
JMCK --- Julian McKail         101 1887 20090628
DDEN --- Di Dennis              66 1887 20071111
CSPA --- Clive Spate            57 1887 19971127
THAL --- Trevor Halsall        228 1886 20091129
SKAN --- Sam Kantimathi        601 1885 20101010
PEPS --- Paul Epstein           47 1885 20000604
AKUR --- Andy Kurnia           412 1884 20081130
MKEN --- Mark Kenas            267 1884 20101003
TRAB --- Tawano Rabong          69 1884 20000705
NBAL --- Nick Ball             188 1883 20101003
KHIR --- Keiichiro Hirai       122 1883 20051119
TCHA NGA Ted Chambers           21 1883 20091009
HWIL GBR Howard Wilde           20 1883 20090717
MGON --- Michael Gongolo       365 1882 20091204
VAMA --- Victor Amartey         48 1882 20060924
WZXQ CAN Winter Zxqkj            7 1882 20100716
BJAC --- Bob Jackman           667 1881 20100816
DSAL --- Dean Saldanha         158 1880 20090719
BTHO --- Blue Thorogood        153 1880 20100816
AOLA --- Adigun Olatunde        72 1880 20102002
MPRA --- Mike Pray              52 1880 20000526
WSUT --- Waiyapot Suttawass     53 1879 20030629
ARIC --- Alastair Richards     620 1878 20100816
CCRE --- Chris Cree             80 1878 20100816
ASHI --- Austin Shin           152 1877 20091130
SHOL --- Stewart Holden        114 1876 20100124
JASH GBR John Ashmore           80 1876 20090717
