NICKstateNAME                   2011/can/toronto2011.tou 20110925
GASI --- Ganesh Asirvatham     571 2233 20080622
MQUR --- Mazher Qureshi          6 2139 20011012
RTIE --- Ron Tiekert            59 2102 19991106
PGAL GBR Paul Gallen            96 2086 20110123
BSMI --- Brett Smitheram       142 2084 20110123
KPAN --- Komol Panyasoponlert  575 2077 20110626
DWIE --- David Wiegand         274 2075 20110327
PSUJ --- Panupol Sujjayakorn   589 2070 20101209
APER --- Andrew Perry           48 2070 20031023
JDYM --- Jack Dymond           241 2067 20041126
SFOS --- Simon Foskett           6 2066 19991031
MBER USA Matthew Bernardina     22 2060 20110221
ALOG --- Adam Logan            310 2059 20110925
AFIS --- Andrew Fisher         475 2057 20101205
BBER --- Barbara Berlin         38 2056 19991106
VMOR --- Virgilio Morales      118 2051 19980920
LMAC --- Lewis Mackay          145 2047 20091130
PARM --- Peter Armstrong        48 2046 20081116
DELD --- David Eldar           507 2045 20110515
OTIM --- Olaitan Timi           61 2042 20101031
NRIC --- Nigel Richards       1520 2038 20110925
PALL --- Paul Allan            295 2032 20100108
ADAV --- Andrew Davis           72 2030 20051119
NFER --- Naween Fernando       454 2029 20101205
DBOY --- David Boys            324 2029 20110206
ASAL --- Alan Saldanha          57 2029 19971127
SDUR --- Segun Durojaiye        72 2028 20110909
THUN --- Tony Hunt              53 2028 20091204
SOKO --- Sammy Okosagah         87 2027 20110909
MNYM --- Mark Nyman            456 2024 20101209
PCLE --- Paul Cleary           311 2022 20051119
MSAN --- Moshood Sanni         155 2021 20110909
LOYE --- Lanre Oyenkunle        48 2021 20071111
JEDL --- Joe Edley             128 2017 20011216
CMAY --- Chris May             414 2013 20101205
POMO NGA Prince Omosefe         89 2013 20101031
APHI --- Adam Philpotts         48 2012 20081101
QPRO CAN Quackle Program        21 2012 20110925
JSHE --- Joel Sherman          221 2010 20051119
TSAH --- Tayo Saheed            83 2009 20110909
ACOO --- Andrew Cook            24 2007 19991106
WJIG --- Wellington Jighere    343 2005 20101031
EOKU --- Edward Okulicz        302 2004 20091130
DACT --- David Acton            53 2004 20050226
PNEM --- Pakorn Nemitrmansuk   949 2003 20110626
NBEN --- Nathan Benedict       483 2002 20110925
EKAR --- Eta Karo              227 1999 20101205
YTAK --- Yawo Takyi Ananga     107 1999 20110320
MKIM --- Macharia Kimani        66 1996 20041003
JSCA --- Jimmy Scarff           24 1995 19981123
IISM --- Idrus Ismail           18 1995 19980920
JMAL --- Joey Mallick           48 1992 20051119
JGEA --- Jim Geary             101 1991 20031023
MGRA --- Matt Graham            63 1991 20011216
TADA --- Timothy Adamson       281 1990 20101003
DGIB --- Dave Gibson            15 1990 19930830
STHO --- Shafique Thobani       77 1987 19991106
ATOR --- Asimiea Torisetju      24 1987 19980412
CIKO --- Clement Ikolo          43 1985 20080910
JO'L --- John O'Laughlin       288 1983 20110925
WFAS --- Wale Fashina           96 1982 20110105
ASAI IND Ayorinde Saidu        337 1978 20101205
SOSH --- Sunday Oshodi         208 1977 20110909
ESQU NGA Ewarah Squiz           24 1977 20101031
OOYA --- Olabiyi Oyadiran       38 1975 20081005
PAPP --- Phil Appleby          169 1974 20091129
GTHE --- Geoff Thevenot        242 1972 20110925
BCAP --- Brian Cappelletto     177 1972 20101209
VQUI --- Virgilio Quiballo      78 1970 20020707
BSCH --- Bob Schoenman          18 1970 19930830
EUMU --- Emmanuel Umujose      199 1969 20101031
RBYE --- Russell Byers         126 1967 20090717
IONY --- Ifeanyi Onyeonwu       39 1967 19971127
TJUL NIG Tetteh Julius          24 1967 20110909
WILO NGA Wale Ilori             99 1966 20110909
CSUK --- Charnwit Sukhu        485 1965 20110626
RLUN --- Richard Lund           18 1965 19930830
DESA --- Dokun Esan            106 1964 20110909
AADE --- Ayox Adekunle          48 1964 20041003
ARIC --- Alastair Richards     838 1963 20110703
SROD --- Sherwin Rodrigues     435 1963 20110117
PLIM THA Pichai Limprasert     261 1962 20110703
NSCO --- Neil Scott            147 1962 20091130
JROB GBR Jared Robinson        116 1960 20101010
MNIC GBR Mikki Nicholson       322 1959 20110515
JMEA --- Jere Mead              45 1956 20011216
HWEE --- Hubert Wee            463 1954 20100620
EMAR --- Edward Martin         280 1954 20110105
CBEE --- Craig Beevers         380 1953 20110105
CUME --- Cyril Umebiye         113 1952 20101031
ROGB NGA Rex Ogbakpa            83 1952 20110909
SCHI --- Suresh Chinnaiyah     119 1951 20070115
PDOW --- Penny Downer           21 1951 19971127
HLAM --- Harshan Lamabad       443 1950 20100511
JLUE --- John Luebkemann       135 1950 20081116
GWIL --- Gareth Williams       261 1948 20091011
LODO --- Lisa Odom              66 1948 20051119
HMAL --- Harry Malcolm          14 1947 19991102
ESIM --- Evan Simpson          185 1944 20101205
MAKO --- Michael Akonor        167 1944 20101024
RHOE --- Ron Hoekstra          306 1942 20101205
BBOW USA Brian Bowman          141 1940 20110424
LKIA --- Liew Kian Boon        282 1939 20110617
CHOO --- Chris Hooks            23 1939 19961125
CITT --- Chollapat Itthiaree   294 1937 20110626
FIBU --- Faloye Ibukun         202 1936 20110909
TMAR --- Theodoro Martus       262 1935 20101211
JGRA --- John Grayson           99 1935 20091011
LSCH --- Lester Schonbrun       59 1935 19991106
SROS MYS Sam Rosin              24 1935 20091129
NETI NGA Nsikan Etim           156 1933 20110909
OOTE --- Onota Oteheri         131 1933 20110909
PNEL --- Phil Nelkon            79 1933 20100816
MGAB --- Marty Gabriel         294 1931 20110410
JCRA --- Joanne Craig          407 1930 20101205
MKEN --- Mark Kenas            328 1929 20110717
RCAS --- Rod Casey               6 1929 19991031
AERB --- Akegapun Erbpras      133 1928 20060702
PNDE --- Patrick Nderitu       106 1928 20110423
RDAN --- Robin Daniel           81 1928 20011216
ORIO --- Odette Rio            652 1925 20110626
RFIL --- Roland Filio          135 1924 20011216
DDAY --- Darrel Day             18 1924 19930830
RKEN --- Rik Kennedy           123 1923 20110123
RMAC --- Rod MacNeil            36 1923 20110206
RGRE --- Randy Greenspan        18 1922 19930830
MEVA GBR Mike Evans             13 1922 20080210
HGIP --- Helen Gipson          662 1921 20110515
LOWO --- Lukeman Owolabi       274 1921 20101031
MWAR --- M Warusawitharana      57 1920 19971127
JWAP --- Joel Wapnick          370 1919 20110905
PROB --- Phil Robertshaw       317 1919 20110105
DWEB --- David Webb            294 1919 20110105
ECOH --- Evan Cohen            223 1919 20110515
JCHE --- James Cherry           48 1919 20011216
BOLA NGA Biodun Olaleru         35 1919 20091009
JGRA --- Jeff Grant            502 1918 20101205
OODU --- Olatunde Oduwole      109 1918 20110909
PKOU MYS Peter Kougi           114 1917 20101205
NNAJ --- Nashad Najmu           36 1917 20031214
OBON --- Owen Bondin            24 1917 19991106
IDIX --- Ivy Dixon-Baird        16 1917 20030630
CKHO --- Charnrit Khongthan    291 1916 20110626
RHER --- Randy Hersom          117 1916 20051119
TWOK NGA Timi Woko              59 1916 20110909
OJOH NGA Okoroigwe John         44 1916 20110909
OAVW --- Oshevire Avwenagha     91 1915 20110909
EBER --- Evan Berofsky         106 1914 20110925
CTAC --- Charles Tachie         46 1914 20110909
JKLA --- Jakkrit Klaphajone    569 1913 20110626
BLIP --- Bob Lipton            207 1913 20100816
QJAM USA Quinn James            22 1913 20110221
DIKE --- Dennis Ikekeregor     356 1912 20101205
MZAF --- Mohammed Zafar        218 1912 20081018
DLOW --- David Lowden           24 1912 20061106
RBAL --- Rasheed Balogun       257 1910 20110909
JKAT --- Jason Katz-Brown      245 1910 20110626
ZKAU --- Zev Kaufman            78 1910 20051119
DEAR --- Dylan Early           128 1909 20091129
ACHO --- Aaron Chong           273 1906 20110617
KMCM --- Kevin McMahon         118 1905 20091204
PCHE --- Pui Cheng Wui         284 1904 20091204
TLEA --- Tony Leah             153 1904 20110925
LCOH USA Laurie Cohen           45 1904 20110724
MPET NGA Moses Peter           151 1902 20110909
MOTI --- Manase Otieno         236 1901 20110423
NBAL --- Nick Ballard           18 1901 19930830
OJAR --- Ong-Arj Jaruwan        18 1901 19930830
JKEL USA Jason Keller            6 1901 20110410
HWAR --- Howard Warner         591 1900 20101211
PMOR --- Peter Morris           90 1900 20101209
ASAM --- Asare Samson          115 1899 20110909
WINT --- Win Intara             27 1899 20040628
ZLEA --- Zelig Leader           18 1899 19951026
TBRO --- Theresa Brousson      656 1898 20110515
PELB --- Peter Elbourne        105 1898 20011216
BWHI USA Bradley Whitmarsh      50 1898 20110905
OSUA --- Ong Suanne            435 1897 20091210
COKW --- Chinedu Okwelogu      392 1897 20110515
FWEA --- Feargal Weatherhead   208 1896 20110123
CSYK --- Christopher Sykes      24 1896 20011216
AFAR USA Alyssa Faria           12 1896 20110206
THAL --- Trevor Halsall        273 1895 20101205
JKRA --- James Kramer          272 1894 20110717
SHOL --- Stewart Holden        127 1894 20110123
OFRI NGA Ogbonyomi Friday       67 1894 20110909
SCHA --- Sitthisak Chaisook     28 1894 20000705
KSAE AUS Kristian Saether       24 1894 20081130
DAKA NGA Dipo Akanbi            60 1893 20110909
WNED --- Will Nediger           39 1893 20061201
JADD --- Joshua Addo            39 1892 19971127
MWIL --- Mike Willis            18 1892 19951026
SNJO --- Stanley Njoroge       176 1891 20100606
PCAR --- Patrick Carter        278 1890 20101205
AUL- --- Asad Ul-haq            96 1890 20070624
EMET --- Eddie Metevier         32 1890 19991106
JLER --- Jerry Lerman           42 1889 20051119
AOGB --- Azu Ogbogu            230 1888 20110909
JVAN --- John Van Pelt          35 1888 20110320
DDEN --- Di Dennis              66 1887 20071111
CSPA --- Clive Spate            57 1887 19971127
CJOH USA Carl Johnson           43 1887 20110327
CLIP USA Chris Lipe             76 1886 20110724
ATZU NED Ami Tzubery             7 1886 20110528
PEPS --- Paul Epstein           47 1885 20000604
AKUR --- Andy Kurnia           412 1884 20081130
TRAB --- Tawano Rabong          69 1884 20000705
NBAL --- Nick Ball             226 1883 20110327
KHIR --- Keiichiro Hirai       122 1883 20051119
TCHA NGA Ted Chambers           21 1883 20091009
HWIL GBR Howard Wilde           20 1883 20090717
ACHA --- Amit Chakrabarti      212 1882 20110925
WZXQ CAN Winter Zxqkj            7 1882 20100716
DSAL --- Dean Saldanha         158 1880 20090719
BTHO --- Blue Thorogood        153 1880 20100816
AOLA --- Adigun Olatunde        72 1880 20102002
MPRA --- Mike Pray              52 1880 20000526
CGRU USA Chris Grubb            36 1880 20110327
