NICKstateNAME                   2011/ger/germopen.tou 20110313
GASI --- Ganesh Asirvatham     571 2233 20080622
MQUR --- Mazher Qureshi          6 2139 20011012
NRIC --- Nigel Richards       1421 2114 20110117
RTIE --- Ron Tiekert            59 2102 19991106
PGAL GBR Paul Gallen            96 2086 20110123
BSMI --- Brett Smitheram       142 2084 20110123
PSUJ --- Panupol Sujjayakorn   589 2070 20101209
APER --- Andrew Perry           48 2070 20031023
JDYM --- Jack Dymond           241 2067 20041126
SFOS --- Simon Foskett           6 2066 19991031
MBER USA Matthew Bernardina     22 2060 20110221
DWIE --- David Wiegand         254 2058 20101205
AFIS --- Andrew Fisher         475 2057 20101205
BBER --- Barbara Berlin         38 2056 19991106
SDUR --- Segun Durojaiye        48 2055 20060924
MNIC GBR Mikki Nicholson       266 2054 20101205
ALOG --- Adam Logan            284 2052 20101209
VMOR --- Virgilio Morales      118 2051 19980920
DELD --- David Eldar           495 2050 20101209
LMAC --- Lewis Mackay          145 2047 20091130
PARM --- Peter Armstrong        48 2046 20081116
NBEN --- Nathan Benedict       429 2042 20110221
YTAK --- Yawo Takyi Ananga      93 2042 20051119
OTIM --- Olaitan Timi           61 2042 20101031
PNEM --- Pakorn Nemitrmansuk   922 2032 20101209
PALL --- Paul Allan            295 2032 20100108
ADAV --- Andrew Davis           72 2030 20051119
NFER --- Naween Fernando       454 2029 20101205
DBOY --- David Boys            324 2029 20110206
ASAL --- Alan Saldanha          57 2029 19971127
MSAN --- Moshood Sanni         131 2028 20091009
THUN --- Tony Hunt              53 2028 20091204
KPAN --- Komol Panyasoponlert  548 2027 20101205
MNYM --- Mark Nyman            456 2024 20101209
PCLE --- Paul Cleary           311 2022 20051119
LOYE --- Lanre Oyenkunle        48 2021 20071111
JEDL --- Joe Edley             128 2017 20011216
CMAY --- Chris May             414 2013 20101205
POMO NGA Prince Omosefe         89 2013 20101031
APHI --- Adam Philpotts         48 2012 20081101
JSHE --- Joel Sherman          221 2010 20051119
SOKO --- Sammy Okosagah         63 2009 20011216
ACOO --- Andrew Cook            24 2007 19991106
TSAH --- Tayo Saheed            59 2006 20091009
WJIG --- Wellington Jighere    343 2005 20101031
EOKU --- Edward Okulicz        302 2004 20091130
DACT --- David Acton            53 2004 20050226
CSUK --- Charnwit Sukhu        458 2000 20101128
ARIC --- Alastair Richards     785 1999 20110123
EKAR --- Eta Karo              227 1999 20101205
MKIM --- Macharia Kimani        66 1996 20041003
JSCA --- Jimmy Scarff           24 1995 19981123
IISM --- Idrus Ismail           18 1995 19980920
JMAL --- Joey Mallick           48 1992 20051119
JGEA --- Jim Geary             101 1991 20031023
MGRA --- Matt Graham            63 1991 20011216
TADA --- Timothy Adamson       281 1990 20101003
DGIB --- Dave Gibson            15 1990 19930830
STHO --- Shafique Thobani       77 1987 19991106
ATOR --- Asimiea Torisetju      24 1987 19980412
OAVW --- Oshevire Avwenagha     69 1986 20101031
CIKO --- Clement Ikolo          43 1985 20080910
WFAS --- Wale Fashina           96 1982 20110105
ASAI IND Ayorinde Saidu        337 1978 20101205
COKW --- Chinedu Okwelogu      337 1977 20101205
ESQU NGA Ewarah Squiz           24 1977 20101031
OOYA --- Olabiyi Oyadiran       38 1975 20081005
PAPP --- Phil Appleby          169 1974 20091129
BCAP --- Brian Cappelletto     177 1972 20101209
VQUI --- Virgilio Quiballo      78 1970 20020707
BSCH --- Bob Schoenman          18 1970 19930830
BJAC --- Bob Jackman           712 1969 20101205
EUMU --- Emmanuel Umujose      199 1969 20101031
RBYE --- Russell Byers         126 1967 20090717
IONY --- Ifeanyi Onyeonwu       39 1967 19971127
RLUN --- Richard Lund           18 1965 19930830
AADE --- Ayox Adekunle          48 1964 20041003
SROD --- Sherwin Rodrigues     435 1963 20110117
JKAT --- Jason Katz-Brown      218 1963 20101205
NSCO --- Neil Scott            147 1962 20091130
PLIM THA Pichai Limprasert     208 1960 20101205
JROB GBR Jared Robinson        116 1960 20101010
CTAC --- Charles Tachie         24 1959 20060924
RBUC USA Richard Buck           12 1958 20110206
SKAN --- Sam Kantimathi        700 1957 20110221
SOSH --- Sunday Oshodi         185 1957 20101031
TKOO --- Thacha Koowirat       317 1956 20101205
JMEA --- Jere Mead              45 1956 20011216
BWHI USA Bradley Whitmarsh      12 1956 20110206
CSIU --- Cheah Siu Hean       1009 1955 20101211
HWEE --- Hubert Wee            463 1954 20100620
EMAR --- Edward Martin         280 1954 20110105
MPAN CAN Max Panitch            81 1954 20091130
CBEE --- Craig Beevers         380 1953 20110105
NETI NGA Nsikan Etim           133 1952 20101205
CUME --- Cyril Umebiye         113 1952 20101031
GTHE --- Geoff Thevenot        196 1951 20100816
BBOW USA Brian Bowman          121 1951 20110206
SCHI --- Suresh Chinnaiyah     119 1951 20070115
CJOH USA Carl Johnson           23 1951 20101017
PDOW --- Penny Downer           21 1951 19971127
HLAM --- Harshan Lamabad       443 1950 20100511
JLUE --- John Luebkemann       135 1950 20081116
GWIL --- Gareth Williams       261 1948 20091011
LODO --- Lisa Odom              66 1948 20051119
HMAL --- Harry Malcolm          14 1947 19991102
SPOL --- Steve Polatnick       402 1945 20110221
ROGB NGA Rex Ogbakpa            59 1945 20101031
ESIM --- Evan Simpson          185 1944 20101205
MAKO --- Michael Akonor        167 1944 20101024
WILO NGA Wale Ilori             75 1944 20101031
RHOE --- Ron Hoekstra          306 1942 20101205
FIBU --- Faloye Ibukun         178 1942 20101031
MSIR --- Marut Siriwangso      347 1939 20101205
ACHO --- Aaron Chong           253 1939 20081130
CHOO --- Chris Hooks            23 1939 19961125
PLIT --- Patrick Litunya       355 1936 20091129
OOTE --- Onota Oteheri         107 1936 20101031
TMAR --- Theodoro Martus       262 1935 20101211
JGRA --- John Grayson           99 1935 20091011
LSCH --- Lester Schonbrun       59 1935 19991106
SROS MYS Sam Rosin              24 1935 20091129
HGIP --- Helen Gipson          606 1934 20101205
PNEL --- Phil Nelkon            79 1933 20100816
JKLA --- Jakkrit Klaphajone    542 1932 20101205
JVAN --- John Van Pelt          21 1931 20031228
CGRU USA Chris Grubb            16 1931 20100320
ORIO --- Odette Rio            625 1930 20101205
JCRA --- Joanne Craig          407 1930 20101205
RCAS --- Rod Casey               6 1929 19991031
AERB --- Akegapun Erbpras      133 1928 20060702
RDAN --- Robin Daniel           81 1928 20011216
PNDE --- Patrick Nderitu        81 1928 20100606
LKIA --- Liew Kian Boon        262 1927 20101205
EBER --- Evan Berofsky          80 1926 20071111
RFIL --- Roland Filio          135 1924 20011216
DDAY --- Darrel Day             18 1924 19930830
RKEN --- Rik Kennedy           123 1923 20110123
RMAC --- Rod MacNeil            36 1923 20110206
TBRO --- Theresa Brousson      601 1922 20110105
TLEA --- Tony Leah             127 1922 20100716
RGRE --- Randy Greenspan        18 1922 19930830
MEVA GBR Mike Evans             13 1922 20080210
LOWO --- Lukeman Owolabi       274 1921 20101031
MWAR --- M Warusawitharana      57 1920 19971127
PROB --- Phil Robertshaw       317 1919 20110105
DWEB --- David Webb            294 1919 20110105
CITT --- Chollapat Itthiaree   267 1919 20101205
ASAM --- Asare Samson           92 1919 20101031
JCHE --- James Cherry           48 1919 20011216
BOLA NGA Biodun Olaleru         35 1919 20091009
JGRA --- Jeff Grant            502 1918 20101205
NBAL --- Nick Ball             206 1918 20110103
MPET NGA Moses Peter           127 1918 20101205
PKOU MYS Peter Kougi           114 1917 20101205
NNAJ --- Nashad Najmu           36 1917 20031214
OBON --- Owen Bondin            24 1917 19991106
IDIX --- Ivy Dixon-Baird        16 1917 20030630
JO'L --- John O'Laughlin       214 1916 20110221
RHER --- Randy Hersom          117 1916 20051119
AOGB --- Azu Ogbogu            208 1915 20101031
BLIP --- Bob Lipton            207 1913 20100816
QJAM USA Quinn James            22 1913 20110221
DIKE --- Dennis Ikekeregor     356 1912 20101205
MZAF --- Mohammed Zafar        218 1912 20081018
OFRI NGA Ogbonyomi Friday       44 1912 20101031
DLOW --- David Lowden           24 1912 20061106
DESA --- Dokun Esan             82 1911 20101031
MKEN --- Mark Kenas            288 1910 20110221
TWEI --- Toh Weibin            133 1910 20101210
ZKAU --- Zev Kaufman            78 1910 20051119
DEAR --- Dylan Early           128 1909 20091129
OOJI NGA Onota Ojiru            59 1908 20101031
KMCM --- Kevin McMahon         118 1905 20091204
PCHE --- Pui Cheng Wui         284 1904 20091204
NONO NGA Noble Onoshevwe        59 1903 20101031
JKRA --- James Kramer          252 1902 20101003
OODU --- Olatunde Oduwole       86 1901 20101031
NBAL --- Nick Ballard           18 1901 19930830
OJAR --- Ong-Arj Jaruwan        18 1901 19930830
HWAR --- Howard Warner         591 1900 20101211
PMOR --- Peter Morris           90 1900 20101209
ECOH --- Evan Cohen            199 1899 20110313
AIKO --- Anthony Ikolo         160 1899 20101031
WINT --- Win Intara             27 1899 20040628
ZLEA --- Zelig Leader           18 1899 19951026
PELB --- Peter Elbourne        105 1898 20011216
FAWO --- Femi Awowade          718 1897 20101031
OSUA --- Ong Suanne            435 1897 20091210
MGAB --- Marty Gabriel         288 1897 20110221
FWEA --- Feargal Weatherhead   208 1896 20110123
CSYK --- Christopher Sykes      24 1896 20011216
AFAR USA Alyssa Faria           12 1896 20110206
THAL --- Trevor Halsall        273 1895 20101205
SHOL --- Stewart Holden        127 1894 20110123
SCHA --- Sitthisak Chaisook     28 1894 20000705
KSAE AUS Kristian Saether       24 1894 20081130
WNED --- Will Nediger           39 1893 20061201
JADD --- Joshua Addo            39 1892 19971127
MWIL --- Mike Willis            18 1892 19951026
SNJO --- Stanley Njoroge       176 1891 20100606
PCAR --- Patrick Carter        278 1890 20101205
AUL- --- Asad Ul-haq            96 1890 20070624
EMET --- Eddie Metevier         32 1890 19991106
JLER --- Jerry Lerman           42 1889 20051119
JMCK --- Julian McKail         101 1887 20090628
DDEN --- Di Dennis              66 1887 20071111
CSPA --- Clive Spate            57 1887 19971127
DAKA NGA Dipo Akanbi            37 1887 20101031
PEPS --- Paul Epstein           47 1885 20000604
AKUR --- Andy Kurnia           412 1884 20081130
TRAB --- Tawano Rabong          69 1884 20000705
KHIR --- Keiichiro Hirai       122 1883 20051119
TCHA NGA Ted Chambers           21 1883 20091009
HWIL GBR Howard Wilde           20 1883 20090717
MGON --- Michael Gongolo       365 1882 20091204
WZXQ CAN Winter Zxqkj            7 1882 20100716
JWAP --- Joel Wapnick          352 1880 20110206
