NICKstateNAME                   2011/mys/jbprr25.tou 20111208
GASI --- Ganesh Asirvatham     528 2221 20071129
MQUR --- Mazher Qureshi          6 2139 20011012
NRIC --- Nigel Richards       1172 2124 20111208
TSAH --- Tayo Saheed            48 2115 20110909
RTIE --- Ron Tiekert            59 2102 19991106
BSMI --- Brett Smitheram       176 2099 20111015
TWOK NIG Timi Woko              24 2098 20110909
WJIG --- Wellington Jighere    102 2097 20101031
CBB  THA Conrad BB              59 2093 20111130
MBER USA Matthew Bernardina     22 2089 20110221
AFIS --- Andrew Fisher         396 2087 20111015
POMO GHA Prince Omosefe         54 2086 20101031
PNEM --- Pakorn Nemitrmansuk   741 2082 20111130
PARM --- Peter Armstrong        24 2076 20051119
DWIE --- David Wiegand         244 2075 20111015
ALOG --- Adam Logan            324 2072 20111015
APER --- Andrew Perry           48 2070 20031023
JDYM --- Jack Dymond           241 2067 20041126
SFOS --- Simon Foskett           6 2066 19991031
CMAY --- Chris May             317 2060 20111015
KPAN --- Komol Panyasoponlert  547 2057 20111130
BBER --- Barbara Berlin         38 2056 19991106
TADA --- Timothy Adamson       125 2055 20101003
DELD --- David Eldar           301 2054 20110515
OJOH NIG Okoroigwe John         24 2052 20110909
VMOR --- Virgilio Morales      118 2051 19980920
SDUR --- Segun Durojaiye        72 2049 20110909
PSUJ --- Panupol Sujjayakorn   482 2048 20111120
SOKO --- Sammy Okosagah         87 2048 20110909
HWEE --- Hubert Wee            419 2046 20111130
CIKO --- Clement Ikolo          24 2045 19980412
JKLA --- Jakkrit Klaphajone    516 2040 20111130
OOTE --- Onota Oteheri          72 2040 20110909
OTIM --- Olaitan Timi           47 2040 20101031
DBOY --- David Boys            277 2038 20111015
EKAR --- Eta Karo              123 2038 20101205
PGAL GBR Paul Gallen           117 2037 20111113
MNYM --- Mark Nyman            363 2032 20111015
TJUL NIG Tetteh Julius          24 2032 20110909
ADAV --- Andrew Davis           72 2030 20051119
ASAL --- Alan Saldanha          57 2029 19971127
PALL --- Paul Allan            183 2026 20111015
CBEE --- Craig Beevers         230 2025 20111015
ASAI GHA Ayorinde Saidu         99 2024 20101205
KMCM --- Kevin McMahon          36 2024 20111113
PCLE --- Paul Cleary           311 2022 20051119
LOYE --- Lanre Oyenkunle        48 2021 20071111
LMAC --- Lewis Mackay           58 2019 20111113
OFRI NGA Ogbonyomi Friday       46 2018 20110909
JEDL --- Joe Edley             128 2017 20011216
APHI --- Adam Philpotts         36 2016 20071111
WILO GHA Wale Ilori             78 2012 20110909
PAPP --- Phil Appleby          145 2011 20071111
RBYE --- Russell Byers         105 2010 20051119
EUMU --- Emmanuel Umujose       78 2010 20101031
ACOO --- Andrew Cook            24 2007 19991106
MNIC GBR Mikki Nicholson       193 2004 20111015
DACT --- David Acton            53 2004 20050226
YTAK --- Yawo Takyi Ananga     107 2003 20110320
NSCO --- Neil Scott            100 2001 20111113
MSIR --- Marut Siriwangso      372 1997 20111130
WFAS --- Wale Fashina           96 1996 20110105
MKIM --- Macharia Kimani        66 1996 20041003
JSCA --- Jimmy Scarff           24 1995 19981123
IISM --- Idrus Ismail           18 1995 19980920
CSUK --- Charnwit Sukhu        407 1994 20110626
FIBU --- Faloye Ibukun         102 1994 20110909
JMAL --- Joey Mallick           48 1992 20051119
ARIC --- Alastair Richards     639 1991 20111208
GTHE --- Geoff Thevenot        187 1991 20111015
JGEA --- Jim Geary             101 1991 20031023
MGRA --- Matt Graham            63 1991 20011216
NFER --- Naween Fernando       375 1990 20111015
DGIB --- Dave Gibson            15 1990 19930830
HGIP --- Helen Gipson          412 1989 20111015
EOKU --- Edward Okulicz        199 1989 20111015
STHO --- Shafique Thobani       77 1987 19991106
ATOR --- Asimiea Torisetju      24 1987 19980412
ESQU NGA Ewarah Squiz           24 1986 20101031
QPRO CAN Quackle Program        21 1986 20110925
TKOO --- Thacha Koowirat       322 1984 20111130
BCAP --- Brian Cappelletto     177 1984 20101209
CLIP USA Chris Lipe            110 1984 20111015
HWAR --- Howard Warner         470 1983 20111015
ABHA --- Akshay Bhandarkar     288 1979 20100115
ASAK --- Atiruth Sakdiyakorn   104 1977 20070625
PLIM THA Pichai Limprasert     155 1976 20111120
ASHI --- Austin Shin            67 1976 20061205
JLUE --- John Luebkemann       111 1974 20051119
OAVW --- Oshevire Avwenagha     70 1973 20110909
VQUI --- Virgilio Quiballo      78 1970 20020707
ROGB NGA Rex Ogbakpa            48 1970 20110909
BSCH --- Bob Schoenman          18 1970 19930830
CSIU --- Cheah Siu Hean        854 1967 20111130
ORIO --- Odette Rio            554 1967 20111130
AKUR --- Andy Kurnia           379 1967 20071129
JSHE --- Joel Sherman          255 1967 20111015
IONY --- Ifeanyi Onyeonwu       39 1967 19971127
NBEN --- Nathan Benedict       370 1965 20111015
RLUN --- Richard Lund           18 1965 19930830
AADE --- Ayox Adekunle          48 1964 20041003
THUN --- Tony Hunt              78 1960 20111208
HLAM --- Harshan Lamabad       195 1957 20100511
TMAR --- Theodoro Martus       171 1957 20111130
NETI GHA Nsikan Etim           167 1957 20111130
JMEA --- Jere Mead              45 1956 20011216
